Size,Data Type,Execution Time Mean,Execution Time Median,Execution Time Std,Execution Time Var,Comparisons Mean,Comparisons Median,Comparisons Std,Comparisons Var,Exchanges Mean,Exchanges Median,Exchanges Std,Exchanges Var
0,random,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,reverse_sorted,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,sorted,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10000,random,0.000639,0.0006295000000000001,2.5802669973818175e-05,6.65777777777778e-10,120531.0,120531.0,0.0,0.0,133616.0,133616.0,0.0,0.0
10000,reverse_sorted,0.00032050000000000004,0.0003075,2.419021840882523e-05,5.85166666666667e-10,64608.0,64608.0,0.0,0.0,133616.0,133616.0,0.0,0.0
10000,sorted,0.00029959999999999996,0.000296,8.099382692526636e-06,6.560000000000001e-11,69008.0,69008.0,0.0,0.0,133616.0,133616.0,0.0,0.0
20000,random,0.0013722,0.001361,2.4724257094782244e-05,6.112888888888901e-10,260900.0,260900.0,0.0,0.0,287232.0,287232.0,0.0,0.0
20000,reverse_sorted,0.0006358999999999999,0.000623,3.177158059230505e-05,1.0094333333333348e-09,139216.0,139216.0,0.0,0.0,287232.0,287232.0,0.0,0.0
20000,sorted,0.0006065,0.000602,1.629757991577619e-05,2.656111111111114e-10,148016.0,148016.0,0.0,0.0,287232.0,287232.0,0.0,0.0
30000,random,0.0021628000000000003,0.0021495,3.4482845976900883e-05,1.1890666666666695e-09,408643.0,408643.0,0.0,0.0,447232.0,447232.0,0.0,0.0
30000,reverse_sorted,0.0009540999999999999,0.00094,2.898831182083949e-05,8.403222222222225e-10,219504.0,219504.0,0.0,0.0,447232.0,447232.0,0.0,0.0
30000,sorted,0.0009257000000000001,0.000914,2.6915712057375637e-05,7.244555555555562e-10,227728.0,227728.0,0.0,0.0,447232.0,447232.0,0.0,0.0
40000,random,0.0029356,0.0029265000000000003,9.357967490622926e-05,8.757155555555553e-09,561646.0,561646.0,0.0,0.0,614464.0,614464.0,0.0,0.0
40000,reverse_sorted,0.0013597000000000001,0.0012945,0.00012914423461128007,1.6678233333333346e-08,298432.0,298432.0,0.0,0.0,614464.0,614464.0,0.0,0.0
40000,sorted,0.0013266,0.0012685,0.00010793434218182006,1.1649822222222222e-08,316032.0,316032.0,0.0,0.0,614464.0,614464.0,0.0,0.0
50000,random,0.0036647999999999993,0.0036345,6.919344863015088e-05,4.787733333333328e-09,718131.0,718131.0,0.0,0.0,784464.0,784464.0,0.0,0.0
50000,reverse_sorted,0.0016366000000000002,0.0016225,4.4154274991216855e-05,1.9495999999999983e-09,382512.0,382512.0,0.0,0.0,784464.0,784464.0,0.0,0.0
50000,sorted,0.0015896,0.0015745,4.280498413347055e-05,1.8322666666666654e-09,401952.0,401952.0,0.0,0.0,784464.0,784464.0,0.0,0.0
60000,random,0.004436600000000001,0.004417000000000001,5.841651212533034e-05,3.4124888888888668e-09,877256.0,877256.0,0.0,0.0,954464.0,954464.0,0.0,0.0
60000,reverse_sorted,0.0019541,0.0019345,5.104779895135326e-05,2.6058777777777827e-09,469008.0,469008.0,0.0,0.0,954464.0,954464.0,0.0,0.0
60000,sorted,0.0019067999999999997,0.001891,4.874605397135004e-05,2.3761777777777706e-09,485456.0,485456.0,0.0,0.0,954464.0,954464.0,0.0,0.0
70000,random,0.0052407,0.0052035,7.933200278996283e-05,6.293566666666671e-09,1038880.0,1038880.0,0.0,0.0,1128928.0,1128928.0,0.0,0.0
70000,reverse_sorted,0.0022919000000000004,0.0022715,6.304575058373616e-05,3.974766666666669e-09,555200.0,555200.0,0.0,0.0,1128928.0,1128928.0,0.0,0.0
70000,sorted,0.0022372000000000004,0.002212,5.883649660995576e-05,3.461733333333335e-09,573728.0,573728.0,0.0,0.0,1128928.0,1128928.0,0.0,0.0
80000,random,0.0060299,0.005996,9.131441409888264e-05,8.338322222222216e-09,1203698.0,1203698.0,0.0,0.0,1308928.0,1308928.0,0.0,0.0
80000,reverse_sorted,0.0026615000000000002,0.002633,6.785482869905262e-05,4.604277777777775e-09,636864.0,636864.0,0.0,0.0,1308928.0,1308928.0,0.0,0.0
80000,sorted,0.002586,0.0025605000000000003,6.533163263092554e-05,4.268222222222215e-09,672064.0,672064.0,0.0,0.0,1308928.0,1308928.0,0.0,0.0
90000,random,0.006753100000000001,0.006718,9.45191926424351e-05,8.933877777777758e-09,1369514.0,1369514.0,0.0,0.0,1488928.0,1488928.0,0.0,0.0
90000,reverse_sorted,0.0029646,0.002941,7.063552773058164e-05,4.989377777777768e-09,723680.0,723680.0,0.0,0.0,1488928.0,1488928.0,0.0,0.0
90000,sorted,0.0028844,0.0028625,6.784492120515232e-05,4.6029333333333274e-09,765248.0,765248.0,0.0,0.0,1488928.0,1488928.0,0.0,0.0
100000,random,0.007552499999999999,0.0075274999999999995,9.572559160897849e-05,9.163388888888933e-09,1536618.0,1536618.0,0.0,0.0,1668928.0,1668928.0,0.0,0.0
100000,reverse_sorted,0.0033213999999999995,0.0032905,8.226137206084839e-05,6.766933333333327e-09,815024.0,815024.0,0.0,0.0,1668928.0,1668928.0,0.0,0.0
100000,sorted,0.0032267,0.0032034999999999998,7.404960799656161e-05,5.4833444444444416e-09,853904.0,853904.0,0.0,0.0,1668928.0,1668928.0,0.0,0.0
