Size,Data Type,Execution Time Mean,Execution Time Median,Execution Time Std,Execution Time Var,Comparisons Mean,Comparisons Median,Comparisons Std,Comparisons Var,Exchanges Mean,Exchanges Median,Exchanges Std,Exchanges Var
0,random,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,reverse_sorted,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,sorted,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10000,random,0.0114472,0.0113865,0.00018204810109174758,3.314151111111115e-08,24744822.0,24744822.0,0.0,0.0,24734834.0,24734834.0,0.0,0.0
10000,reverse_sorted,0.022967400000000002,0.0229785,4.028564674090923e-05,1.6229333333333305e-09,49995000.0,49995000.0,0.0,0.0,49995000.0,49995000.0,0.0,0.0
10000,sorted,1.1e-05,1.1e-05,0.0,0.0,9999.0,9999.0,0.0,0.0,0.0,0.0,0.0,0.0
20000,random,0.0468042,0.046449500000000005,0.0008595590342340281,7.388417333333351e-07,100031988.0,100031988.0,0.0,0.0,100011999.0,100011999.0,0.0,0.0
20000,reverse_sorted,0.0925536,0.092665,0.0003635241700660663,1.321498222222223e-07,199990000.0,199990000.0,0.0,0.0,199990000.0,199990000.0,0.0,0.0
20000,sorted,2.2999999999999997e-05,2.3e-05,3.5714044887051404e-21,1.2754930021943224e-41,19999.0,19999.0,0.0,0.0,0.0,0.0,0.0,0.0
30000,random,0.10338100000000001,0.1023815,0.002053111459874175,4.215266666666666e-06,222899241.0,222899241.0,0.0,0.0,222869248.0,222869248.0,0.0,0.0
30000,reverse_sorted,0.20724459999999997,0.2065395,0.0018283866111957832,3.3429975999999998e-06,449985000.0,449985000.0,0.0,0.0,449985000.0,449985000.0,0.0,0.0
30000,sorted,3.46e-05,3.4e-05,1.5776212754932308e-06,2.4888888888888884e-12,29999.0,29999.0,0.0,0.0,0.0,0.0,0.0,0.0
40000,random,0.1860683,0.18636799999999998,0.001768016531471229,3.1258824555555554e-06,400073821.0,400073821.0,0.0,0.0,400033834.0,400033834.0,0.0,0.0
40000,reverse_sorted,0.3684632,0.367819,0.0013074296921823374,1.7093724000000016e-06,799980000.0,799980000.0,0.0,0.0,799980000.0,799980000.0,0.0,0.0
40000,sorted,4.64e-05,4.6e-05,1.2649110640673525e-06,1.600000000000002e-12,39999.0,39999.0,0.0,0.0,0.0,0.0,0.0,0.0
50000,random,0.29058600000000007,0.28883349999999997,0.004227065070602901,1.7868079111111107e-05,624819532.0,624819532.0,0.0,0.0,624769540.0,624769540.0,0.0,0.0
50000,reverse_sorted,0.5778547,0.576997,0.002597984605633969,6.74952401111109e-06,1249975000.0,1249975000.0,0.0,0.0,1249975000.0,1249975000.0,0.0,0.0
50000,sorted,5.71e-05,5.7e-05,3.1622776601683707e-07,9.999999999999945e-14,49999.0,49999.0,0.0,0.0,0.0,0.0,0.0,0.0
60000,random,0.41709630000000003,0.41654749999999996,0.001342187853220754,1.801468233333336e-06,904418111.0,904418111.0,0.0,0.0,904358120.0,904358120.0,0.0,0.0
60000,reverse_sorted,0.8315469999999999,0.8303324999999999,0.0047740156402480746,2.2791225333333236e-05,1799970000.0,1799970000.0,0.0,0.0,1799970000.0,1799970000.0,0.0,0.0
60000,sorted,6.950000000000001e-05,6.9e-05,1.5811388300841896e-06,2.4999999999999994e-12,59999.0,59999.0,0.0,0.0,0.0,0.0,0.0,0.0
70000,random,0.5706949000000001,0.5683905,0.005289984508483934,2.7983936100000012e-05,1235136583.0,1235136583.0,0.0,0.0,1235066597.0,1235066597.0,0.0,0.0
70000,reverse_sorted,1.1442087,1.136027,0.016661526774445243,0.0002776064744555557,2449965000.0,2449965000.0,0.0,0.0,2449965000.0,2449965000.0,0.0,0.0
70000,sorted,8.04e-05,8e-05,1.2649110640673483e-06,1.5999999999999912e-12,69999.0,69999.0,0.0,0.0,0.0,0.0,0.0,0.0
80000,random,0.7405990000000001,0.737982,0.008762773977330334,7.678620777777768e-05,1599540246.0,1599540246.0,0.0,0.0,1599460253.0,1599460253.0,0.0,0.0
80000,reverse_sorted,1.4873851,1.4815765,0.012897218015697995,0.00016633823254444494,3199960000.0,3199960000.0,0.0,0.0,3199960000.0,3199960000.0,0.0,0.0
80000,sorted,9.249999999999999e-05,9.2e-05,1.5811388300841896e-06,2.5e-12,79999.0,79999.0,0.0,0.0,0.0,0.0,0.0,0.0
90000,random,0.9373148999999998,0.9325025,0.014081821050560193,0.00019829768410000017,2018220906.0,2018220906.0,0.0,0.0,2018130919.0,2018130919.0,0.0,0.0
90000,reverse_sorted,1.885286,1.8773170000000001,0.027211652618358603,0.0007404740382222227,4049955000.0,4049955000.0,0.0,0.0,4049955000.0,4049955000.0,0.0,0.0
90000,sorted,0.00010339999999999999,0.000103,1.2649110640673525e-06,1.600000000000002e-12,89999.0,89999.0,0.0,0.0,0.0,0.0,0.0,0.0
100000,random,1.1562502000000001,1.155915,0.0054160489247749,2.9333585955555343e-05,2496469518.0,2496469518.0,0.0,0.0,2496369531.0,2496369531.0,0.0,0.0
100000,reverse_sorted,2.3168518000000002,2.316548,0.00766515741376377,5.8754638177777686e-05,4999950000.0,4999950000.0,0.0,0.0,4999950000.0,4999950000.0,0.0,0.0
100000,sorted,0.000115,0.0001145,1.8257418583505528e-06,3.33333333333333e-12,99999.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0
