Size,Data Type,Execution Time Mean,Execution Time Median,Execution Time Std,Execution Time Var,Comparisons Mean,Comparisons Median,Comparisons Std,Comparisons Var,Exchanges Mean,Exchanges Median,Exchanges Std,Exchanges Var
0,random,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,reverse_sorted,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,sorted,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10000,random,0.00039899999999999994,0.0003965,5.830951894845299e-06,3.3999999999999986e-11,159278.0,159278.0,0.0,0.0,90712.0,90712.0,0.0,0.0
10000,reverse_sorted,0.0299485,0.029935,7.335340634368792e-05,5.380722222222195e-09,49995000.0,49995000.0,0.0,0.0,25004999.0,25004999.0,0.0,0.0
10000,sorted,0.0368458,0.036804,0.00020324522681288795,4.1308622222222265e-08,49995000.0,49995000.0,0.0,0.0,50004999.0,50004999.0,0.0,0.0
20000,random,0.0007752,0.000768,1.6804761230080002e-05,2.824e-10,342526.0,342526.0,0.0,0.0,178796.0,178796.0,0.0,0.0
20000,reverse_sorted,0.1209708,0.12091650000000001,0.0010070141563608295,1.0140775111111134e-06,199990000.0,199990000.0,0.0,0.0,100009999.0,100009999.0,0.0,0.0
20000,sorted,0.14801750000000002,0.1476175,0.0012887104881323152,1.66077472222223e-06,199990000.0,199990000.0,0.0,0.0,200009999.0,200009999.0,0.0,0.0
30000,random,0.0012695999999999999,0.0012545,5.7823870503452096e-05,3.3435999999999974e-09,504572.0,504572.0,0.0,0.0,254581.0,254581.0,0.0,0.0
30000,reverse_sorted,0.2711664,0.2707465,0.0009989228865799954,9.978469333333101e-07,449985000.0,449985000.0,0.0,0.0,225014999.0,225014999.0,0.0,0.0
30000,sorted,0.33529509999999996,0.335088,0.0008082178542942509,6.532161000000029e-07,449985000.0,449985000.0,0.0,0.0,450014999.0,450014999.0,0.0,0.0
40000,random,0.0017303,0.0017005000000000002,8.765088577862614e-05,7.682677777777765e-09,767241.0,767241.0,0.0,0.0,408508.0,408508.0,0.0,0.0
40000,reverse_sorted,0.4845293,0.4838595,0.0015442604162942725,2.38474023333336e-06,799980000.0,799980000.0,0.0,0.0,400019999.0,400019999.0,0.0,0.0
40000,sorted,0.5953498,0.5947020000000001,0.0017248889690515013,2.975241955555551e-06,799980000.0,799980000.0,0.0,0.0,800019999.0,800019999.0,0.0,0.0
50000,random,0.0021458,0.0021184999999999997,8.294415792166035e-05,6.879733333333331e-09,943680.0,943680.0,0.0,0.0,494675.0,494675.0,0.0,0.0
50000,reverse_sorted,0.7611059,0.7600175,0.006908093344444306,4.7721753655555714e-05,1249975000.0,1249975000.0,0.0,0.0,625024999.0,625024999.0,0.0,0.0
50000,sorted,0.9381803,0.9367165,0.0044476167912964725,1.9781295122222327e-05,1249975000.0,1249975000.0,0.0,0.0,1250024999.0,1250024999.0,0.0,0.0
60000,random,0.0026508,0.0026175,9.666758620252301e-05,9.344622222222216e-09,1138090.0,1138090.0,0.0,0.0,597181.0,597181.0,0.0,0.0
60000,reverse_sorted,1.0999603,1.097171,0.008347546799309748,6.96815375666664e-05,1799970000.0,1799970000.0,0.0,0.0,900029999.0,900029999.0,0.0,0.0
60000,sorted,1.3486755000000001,1.343967,0.01002314315582804,0.00010046339872222247,1799970000.0,1799970000.0,0.0,0.0,1800029999.0,1800029999.0,0.0,0.0
70000,random,0.0032374,0.0031704999999999997,0.00017641126192319279,3.1120933333333325e-08,1457477.0,1457477.0,0.0,0.0,753960.0,753960.0,0.0,0.0
70000,reverse_sorted,1.4952165,1.4902190000000002,0.013332752264421793,0.00017776228294444444,2449965000.0,2449965000.0,0.0,0.0,1225034999.0,1225034999.0,0.0,0.0
70000,sorted,1.835001,1.829679,0.012044804283267596,0.0001450773102222214,2449965000.0,2449965000.0,0.0,0.0,2450034999.0,2450034999.0,0.0,0.0
80000,random,0.003983,0.004054,0.00020443580899636942,4.1794000000000037e-08,1638961.0,1638961.0,0.0,0.0,833676.0,833676.0,0.0,0.0
80000,reverse_sorted,1.9433003000000002,1.941284,0.006009281248387519,3.6111461122221855e-05,3199960000.0,3199960000.0,0.0,0.0,1600039999.0,1600039999.0,0.0,0.0
80000,sorted,2.3943710000000005,2.3937955,0.002176438528115769,4.7368846666667365e-06,3199960000.0,3199960000.0,0.0,0.0,3200039999.0,3200039999.0,0.0,0.0
90000,random,0.0042126,0.0041875,0.0001470337829661379,2.1618933333333337e-08,1887253.0,1887253.0,0.0,0.0,977197.0,977197.0,0.0,0.0
90000,reverse_sorted,2.4682486999999997,2.460642,0.017717488046497403,0.0003139093826777783,4049955000.0,4049955000.0,0.0,0.0,2025044999.0,2025044999.0,0.0,0.0
90000,sorted,3.0338031,3.027214,0.012519487329315366,0.000156737562988888,4049955000.0,4049955000.0,0.0,0.0,4050044999.0,4050044999.0,0.0,0.0
100000,random,0.0047916,0.004716,0.00019266966548992602,3.712159999999999e-08,1962679.0,1962679.0,0.0,0.0,1045573.0,1045573.0,0.0,0.0
100000,reverse_sorted,3.0335683,3.0316735,0.008043546938039547,6.469864734444539e-05,4999950000.0,4999950000.0,0.0,0.0,2500049999.0,2500049999.0,0.0,0.0
100000,sorted,3.7349178000000003,3.7333084999999997,0.006524731306515458,4.2572118622222916e-05,4999950000.0,4999950000.0,0.0,0.0,5000049999.0,5000049999.0,0.0,0.0
