Size,Data Type,Execution Time Mean,Execution Time Median,Execution Time Std,Execution Time Var,Comparisons Mean,Comparisons Median,Comparisons Std,Comparisons Var,Exchanges Mean,Exchanges Median,Exchanges Std,Exchanges Var
0,random,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,reverse_sorted,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,sorted,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10000,random,0.023494900000000003,0.023252000000000002,0.0005660517153444944,3.204145444444445e-07,49995000.0,49995000.0,0.0,0.0,9988.0,9988.0,0.0,0.0
10000,reverse_sorted,0.0183429,0.017189999999999997,0.0018783577017052835,3.5282276555555545e-06,49995000.0,49995000.0,0.0,0.0,5000.0,5000.0,0.0,0.0
10000,sorted,0.022816499999999997,0.022743,0.00019742579477982224,3.897694444444448e-08,49995000.0,49995000.0,0.0,0.0,0.0,0.0,0.0,0.0
20000,random,0.0924537,0.092329,0.000637813112648734,4.068055666666666e-07,199990000.0,199990000.0,0.0,0.0,19990.0,19990.0,0.0,0.0
20000,reverse_sorted,0.0755276,0.0754515,0.0047367598442629765,2.2436893822222217e-05,199990000.0,199990000.0,0.0,0.0,10000.0,10000.0,0.0,0.0
20000,sorted,0.0917876,0.0918155,0.0004529614160659194,2.0517404444444296e-07,199990000.0,199990000.0,0.0,0.0,0.0,0.0,0.0,0.0
30000,random,0.2078798,0.20781650000000002,0.0016035960145179306,2.571520177777791e-06,449985000.0,449985000.0,0.0,0.0,29986.0,29986.0,0.0,0.0
30000,reverse_sorted,0.1705649,0.1687275,0.011282963937330972,0.00012730527521111123,449985000.0,449985000.0,0.0,0.0,15000.0,15000.0,0.0,0.0
30000,sorted,0.20519320000000002,0.20520650000000001,0.0007193408711375248,5.17451288888893e-07,449985000.0,449985000.0,0.0,0.0,0.0,0.0,0.0,0.0
40000,random,0.3689418,0.369042,0.0020577374198106333,4.234283288888923e-06,799980000.0,799980000.0,0.0,0.0,39987.0,39987.0,0.0,0.0
40000,reverse_sorted,0.3010103,0.3028225,0.006302317299568816,3.9719203344444375e-05,799980000.0,799980000.0,0.0,0.0,20000.0,20000.0,0.0,0.0
40000,sorted,0.3664497,0.3655525,0.0030804672823741813,9.489278677777774e-06,799980000.0,799980000.0,0.0,0.0,0.0,0.0,0.0,0.0
50000,random,0.5727518000000001,0.57246,0.0015353325227961392,2.3572459555555575e-06,1249975000.0,1249975000.0,0.0,0.0,49997.0,49997.0,0.0,0.0
50000,reverse_sorted,0.46518630000000005,0.46375849999999996,0.020419010287529175,0.00041693598112222226,1249975000.0,1249975000.0,0.0,0.0,25000.0,25000.0,0.0,0.0
50000,sorted,0.5692662,0.567948,0.0023305719755745222,5.431565733333332e-06,1249975000.0,1249975000.0,0.0,0.0,0.0,0.0,0.0,0.0
60000,random,0.8254486,0.8230109999999999,0.005387738593840238,2.902772715555558e-05,1799970000.0,1799970000.0,0.0,0.0,59985.0,59985.0,0.0,0.0
60000,reverse_sorted,0.6854809000000001,0.6818825,0.021799302865764623,0.00047520960543333366,1799970000.0,1799970000.0,0.0,0.0,30000.0,30000.0,0.0,0.0
60000,sorted,0.8290600999999999,0.8269925,0.008052144937841097,6.483703810000002e-05,1799970000.0,1799970000.0,0.0,0.0,0.0,0.0,0.0,0.0
70000,random,1.1250894,1.1225425,0.006060573958884641,3.6730556711110644e-05,2449965000.0,2449965000.0,0.0,0.0,69992.0,69992.0,0.0,0.0
70000,reverse_sorted,0.909088,0.907763,0.027692550181511934,0.0007668773355555565,2449965000.0,2449965000.0,0.0,0.0,35000.0,35000.0,0.0,0.0
70000,sorted,1.1289216,1.122074,0.016226252741913128,0.00026329127804444334,2449965000.0,2449965000.0,0.0,0.0,0.0,0.0,0.0,0.0
80000,random,1.4727779,1.471681,0.010113793765062721,0.00010228882432222157,3199960000.0,3199960000.0,0.0,0.0,79987.0,79987.0,0.0,0.0
80000,reverse_sorted,1.221889,1.223478,0.01289082668670506,0.00016617341266666737,3199960000.0,3199960000.0,0.0,0.0,40000.0,40000.0,0.0,0.0
80000,sorted,1.4663319000000001,1.463077,0.013065615046542743,0.00017071029654444414,3199960000.0,3199960000.0,0.0,0.0,0.0,0.0,0.0,0.0
90000,random,1.8589750999999999,1.8581305000000001,0.004674353537002606,2.184958098888877e-05,4049955000.0,4049955000.0,0.0,0.0,89989.0,89989.0,0.0,0.0
90000,reverse_sorted,1.5365746999999998,1.5315645,0.02024631021006599,0.0004099130771222224,4049955000.0,4049955000.0,0.0,0.0,45000.0,45000.0,0.0,0.0
90000,sorted,1.8509250000000002,1.8491355,0.008849748772328702,7.831805333333336e-05,4049955000.0,4049955000.0,0.0,0.0,0.0,0.0,0.0,0.0
100000,random,2.3035833,2.29983,0.017233985655287887,0.00029701026156666866,4999950000.0,4999950000.0,0.0,0.0,99987.0,99987.0,0.0,0.0
100000,reverse_sorted,1.8718001000000002,1.8719000000000001,0.00466087165071557,2.172372454444409e-05,4999950000.0,4999950000.0,0.0,0.0,50000.0,50000.0,0.0,0.0
100000,sorted,2.2970914,2.2922995,0.015912128171094365,0.00025319582293333487,4999950000.0,4999950000.0,0.0,0.0,0.0,0.0,0.0,0.0
