Size,Data Type,Run,Execution Time (sec),Comparisons,Exchanges
0,random,1,0.000000,0,0
0,random,2,0.000000,0,0
0,random,3,0.000000,0,0
0,random,4,0.000000,0,0
0,random,5,0.000000,0,0
0,random,6,0.000000,0,0
0,random,7,0.000000,0,0
0,random,8,0.000000,0,0
0,random,9,0.000000,0,0
0,random,10,0.000000,0,0
0,sorted,1,0.000000,0,0
0,sorted,2,0.000000,0,0
0,sorted,3,0.000000,0,0
0,sorted,4,0.000000,0,0
0,sorted,5,0.000000,0,0
0,sorted,6,0.000000,0,0
0,sorted,7,0.000000,0,0
0,sorted,8,0.000000,0,0
0,sorted,9,0.000000,0,0
0,sorted,10,0.000000,0,0
0,reverse_sorted,1,0.000000,0,0
0,reverse_sorted,2,0.000000,0,0
0,reverse_sorted,3,0.000000,0,0
0,reverse_sorted,4,0.000000,0,0
0,reverse_sorted,5,0.000000,0,0
0,reverse_sorted,6,0.000000,0,0
0,reverse_sorted,7,0.000000,0,0
0,reverse_sorted,8,0.000000,0,0
0,reverse_sorted,9,0.000000,0,0
0,reverse_sorted,10,0.000000,0,0
10000,random,1,0.000568,235381,124214
10000,random,2,0.000562,235381,124214
10000,random,3,0.000559,235381,124214
10000,random,4,0.000551,235381,124214
10000,random,5,0.000605,235381,124214
10000,random,6,0.000616,235381,124214
10000,random,7,0.000602,235381,124214
10000,random,8,0.000606,235381,124214
10000,random,9,0.000604,235381,124214
10000,random,10,0.000610,235381,124214
10000,sorted,1,0.000410,244460,131957
10000,sorted,2,0.000412,244460,131957
10000,sorted,3,0.000446,244460,131957
10000,sorted,4,0.000411,244460,131957
10000,sorted,5,0.000404,244460,131957
10000,sorted,6,0.000409,244460,131957
10000,sorted,7,0.000412,244460,131957
10000,sorted,8,0.000407,244460,131957
10000,sorted,9,0.000414,244460,131957
10000,sorted,10,0.000412,244460,131957
10000,reverse_sorted,1,0.000441,226682,116697
10000,reverse_sorted,2,0.000443,226682,116697
10000,reverse_sorted,3,0.000466,226682,116697
10000,reverse_sorted,4,0.000455,226682,116697
10000,reverse_sorted,5,0.000463,226682,116697
10000,reverse_sorted,6,0.000458,226682,116697
10000,reverse_sorted,7,0.000458,226682,116697
10000,reverse_sorted,8,0.000466,226682,116697
10000,reverse_sorted,9,0.000454,226682,116697
10000,reverse_sorted,10,0.000462,226682,116697
20000,random,1,0.001265,510593,268229
20000,random,2,0.001343,510593,268229
20000,random,3,0.001331,510593,268229
20000,random,4,0.001288,510593,268229
20000,random,5,0.001322,510593,268229
20000,random,6,0.001229,510593,268229
20000,random,7,0.001312,510593,268229
20000,random,8,0.001279,510593,268229
20000,random,9,0.001289,510593,268229
20000,random,10,0.001331,510593,268229
20000,sorted,1,0.000855,529074,282879
20000,sorted,2,0.000860,529074,282879
20000,sorted,3,0.000842,529074,282879
20000,sorted,4,0.000865,529074,282879
20000,sorted,5,0.000860,529074,282879
20000,sorted,6,0.000851,529074,282879
20000,sorted,7,0.000879,529074,282879
20000,sorted,8,0.000844,529074,282879
20000,sorted,9,0.000854,529074,282879
20000,sorted,10,0.000813,529074,282879
20000,reverse_sorted,1,0.000881,493307,254335
20000,reverse_sorted,2,0.000887,493307,254335
20000,reverse_sorted,3,0.000905,493307,254335
20000,reverse_sorted,4,0.000927,493307,254335
20000,reverse_sorted,5,0.000957,493307,254335
20000,reverse_sorted,6,0.000933,493307,254335
20000,reverse_sorted,7,0.000915,493307,254335
20000,reverse_sorted,8,0.000922,493307,254335
20000,reverse_sorted,9,0.000887,493307,254335
20000,reverse_sorted,10,0.000908,493307,254335
30000,random,1,0.002035,800601,419953
30000,random,2,0.002101,800601,419953
30000,random,3,0.001941,800601,419953
30000,random,4,0.001947,800601,419953
30000,random,5,0.002005,800601,419953
30000,random,6,0.002108,800601,419953
30000,random,7,0.002094,800601,419953
30000,random,8,0.002147,800601,419953
30000,random,9,0.001975,800601,419953
30000,random,10,0.002107,800601,419953
30000,sorted,1,0.001223,826347,440101
30000,sorted,2,0.001206,826347,440101
30000,sorted,3,0.001222,826347,440101
30000,sorted,4,0.001211,826347,440101
30000,sorted,5,0.001219,826347,440101
30000,sorted,6,0.001346,826347,440101
30000,sorted,7,0.001416,826347,440101
30000,sorted,8,0.001214,826347,440101
30000,sorted,9,0.001228,826347,440101
30000,sorted,10,0.001344,826347,440101
30000,reverse_sorted,1,0.001340,775687,399213
30000,reverse_sorted,2,0.001360,775687,399213
30000,reverse_sorted,3,0.001380,775687,399213
30000,reverse_sorted,4,0.001394,775687,399213
30000,reverse_sorted,5,0.001370,775687,399213
30000,reverse_sorted,6,0.001403,775687,399213
30000,reverse_sorted,7,0.001471,775687,399213
30000,reverse_sorted,8,0.001324,775687,399213
30000,reverse_sorted,9,0.001470,775687,399213
30000,reverse_sorted,10,0.001366,775687,399213
40000,random,1,0.002808,1101623,576870
40000,random,2,0.002899,1101623,576870
40000,random,3,0.002756,1101623,576870
40000,random,4,0.002701,1101623,576870
40000,random,5,0.002808,1101623,576870
40000,random,6,0.002889,1101623,576870
40000,random,7,0.002856,1101623,576870
40000,random,8,0.002751,1101623,576870
40000,random,9,0.002887,1101623,576870
40000,random,10,0.002904,1101623,576870
40000,sorted,1,0.001711,1138114,605203
40000,sorted,2,0.001718,1138114,605203
40000,sorted,3,0.001756,1138114,605203
40000,sorted,4,0.001721,1138114,605203
40000,sorted,5,0.001682,1138114,605203
40000,sorted,6,0.001662,1138114,605203
40000,sorted,7,0.001683,1138114,605203
40000,sorted,8,0.001669,1138114,605203
40000,sorted,9,0.001665,1138114,605203
40000,sorted,10,0.001729,1138114,605203
40000,reverse_sorted,1,0.001749,1067779,547629
40000,reverse_sorted,2,0.001829,1067779,547629
40000,reverse_sorted,3,0.001748,1067779,547629
40000,reverse_sorted,4,0.001820,1067779,547629
40000,reverse_sorted,5,0.001808,1067779,547629
40000,reverse_sorted,6,0.001840,1067779,547629
40000,reverse_sorted,7,0.001871,1067779,547629
40000,reverse_sorted,8,0.001842,1067779,547629
40000,reverse_sorted,9,0.001817,1067779,547629
40000,reverse_sorted,10,0.001839,1067779,547629
50000,random,1,0.003643,1409470,737252
50000,random,2,0.003550,1409470,737252
50000,random,3,0.003541,1409470,737252
50000,random,4,0.003428,1409470,737252
50000,random,5,0.003619,1409470,737252
50000,random,6,0.003623,1409470,737252
50000,random,7,0.003548,1409470,737252
50000,random,8,0.003608,1409470,737252
50000,random,9,0.003594,1409470,737252
50000,random,10,0.003656,1409470,737252
50000,sorted,1,0.002077,1455438,773305
50000,sorted,2,0.002012,1455438,773305
50000,sorted,3,0.002020,1455438,773305
50000,sorted,4,0.002035,1455438,773305
50000,sorted,5,0.002025,1455438,773305
50000,sorted,6,0.002098,1455438,773305
50000,sorted,7,0.002098,1455438,773305
50000,sorted,8,0.002053,1455438,773305
50000,sorted,9,0.002043,1455438,773305
50000,sorted,10,0.002048,1455438,773305
50000,reverse_sorted,1,0.002307,1366047,698893
50000,reverse_sorted,2,0.002311,1366047,698893
50000,reverse_sorted,3,0.002343,1366047,698893
50000,reverse_sorted,4,0.002322,1366047,698893
50000,reverse_sorted,5,0.002313,1366047,698893
50000,reverse_sorted,6,0.002312,1366047,698893
50000,reverse_sorted,7,0.002329,1366047,698893
50000,reverse_sorted,8,0.002247,1366047,698893
50000,reverse_sorted,9,0.002290,1366047,698893
50000,reverse_sorted,10,0.002364,1366047,698893
60000,random,1,0.004410,1721521,899845
60000,random,2,0.004611,1721521,899845
60000,random,3,0.004438,1721521,899845
60000,random,4,0.004481,1721521,899845
60000,random,5,0.004472,1721521,899845
60000,random,6,0.004303,1721521,899845
60000,random,7,0.004367,1721521,899845
60000,random,8,0.004406,1721521,899845
60000,random,9,0.004491,1721521,899845
60000,random,10,0.004399,1721521,899845
60000,sorted,1,0.002488,1772744,941417
60000,sorted,2,0.002423,1772744,941417
60000,sorted,3,0.002464,1772744,941417
60000,sorted,4,0.002439,1772744,941417
60000,sorted,5,0.002472,1772744,941417
60000,sorted,6,0.002445,1772744,941417
60000,sorted,7,0.002507,1772744,941417
60000,sorted,8,0.002434,1772744,941417
60000,sorted,9,0.002459,1772744,941417
60000,sorted,10,0.002441,1772744,941417
60000,reverse_sorted,1,0.002721,1670717,854795
60000,reverse_sorted,2,0.002775,1670717,854795
60000,reverse_sorted,3,0.002833,1670717,854795
60000,reverse_sorted,4,0.002800,1670717,854795
60000,reverse_sorted,5,0.002764,1670717,854795
60000,reverse_sorted,6,0.002752,1670717,854795
60000,reverse_sorted,7,0.002780,1670717,854795
60000,reverse_sorted,8,0.002753,1670717,854795
60000,reverse_sorted,9,0.002728,1670717,854795
60000,reverse_sorted,10,0.002791,1670717,854795
70000,random,1,0.005147,2038191,1064340
70000,random,2,0.005132,2038191,1064340
70000,random,3,0.005230,2038191,1064340
70000,random,4,0.005215,2038191,1064340
70000,random,5,0.005231,2038191,1064340
70000,random,6,0.005150,2038191,1064340
70000,random,7,0.005305,2038191,1064340
70000,random,8,0.005226,2038191,1064340
70000,random,9,0.005047,2038191,1064340
70000,random,10,0.005260,2038191,1064340
70000,sorted,1,0.002911,2099178,1114303
70000,sorted,2,0.002834,2099178,1114303
70000,sorted,3,0.002864,2099178,1114303
70000,sorted,4,0.002875,2099178,1114303
70000,sorted,5,0.002843,2099178,1114303
70000,sorted,6,0.002888,2099178,1114303
70000,sorted,7,0.002847,2099178,1114303
70000,sorted,8,0.002852,2099178,1114303
70000,sorted,9,0.002885,2099178,1114303
70000,sorted,10,0.002894,2099178,1114303
70000,reverse_sorted,1,0.003144,1978603,1012683
70000,reverse_sorted,2,0.003224,1978603,1012683
70000,reverse_sorted,3,0.003204,1978603,1012683
70000,reverse_sorted,4,0.003211,1978603,1012683
70000,reverse_sorted,5,0.003217,1978603,1012683
70000,reverse_sorted,6,0.003266,1978603,1012683
70000,reverse_sorted,7,0.003328,1978603,1012683
70000,reverse_sorted,8,0.003245,1978603,1012683
70000,reverse_sorted,9,0.003238,1978603,1012683
70000,reverse_sorted,10,0.003261,1978603,1012683
80000,random,1,0.006127,2363088,1233926
