Size,Data Type,Run,Execution Time (sec),Comparisons,Exchanges
0,random,1,0.000000,0,0
0,random,2,0.000000,0,0
0,random,3,0.000000,0,0
0,random,4,0.000000,0,0
0,random,5,0.000000,0,0
0,random,6,0.000000,0,0
0,random,7,0.000000,0,0
0,random,8,0.000000,0,0
0,random,9,0.000000,0,0
0,random,10,0.000000,0,0
0,sorted,1,0.000000,0,0
0,sorted,2,0.000000,0,0
0,sorted,3,0.000000,0,0
0,sorted,4,0.000000,0,0
0,sorted,5,0.000000,0,0
0,sorted,6,0.000000,0,0
0,sorted,7,0.000000,0,0
0,sorted,8,0.000000,0,0
0,sorted,9,0.000000,0,0
0,sorted,10,0.000000,0,0
0,reverse_sorted,1,0.000000,0,0
0,reverse_sorted,2,0.000000,0,0
0,reverse_sorted,3,0.000000,0,0
0,reverse_sorted,4,0.000000,0,0
0,reverse_sorted,5,0.000000,0,0
0,reverse_sorted,6,0.000000,0,0
0,reverse_sorted,7,0.000000,0,0
0,reverse_sorted,8,0.000000,0,0
0,reverse_sorted,9,0.000000,0,0
0,reverse_sorted,10,0.000000,0,0
10000,random,1,0.000697,120531,133616
10000,random,2,0.000638,120531,133616
10000,random,3,0.000624,120531,133616
10000,random,4,0.000621,120531,133616
10000,random,5,0.000621,120531,133616
10000,random,6,0.000615,120531,133616
10000,random,7,0.000629,120531,133616
10000,random,8,0.000645,120531,133616
10000,random,9,0.000670,120531,133616
10000,random,10,0.000630,120531,133616
10000,sorted,1,0.000321,69008,133616
10000,sorted,2,0.000299,69008,133616
10000,sorted,3,0.000294,69008,133616
10000,sorted,4,0.000295,69008,133616
10000,sorted,5,0.000300,69008,133616
10000,sorted,6,0.000296,69008,133616
10000,sorted,7,0.000296,69008,133616
10000,sorted,8,0.000295,69008,133616
10000,sorted,9,0.000304,69008,133616
10000,sorted,10,0.000296,69008,133616
10000,reverse_sorted,1,0.000331,64608,133616
10000,reverse_sorted,2,0.000341,64608,133616
10000,reverse_sorted,3,0.000379,64608,133616
10000,reverse_sorted,4,0.000305,64608,133616
10000,reverse_sorted,5,0.000310,64608,133616
10000,reverse_sorted,6,0.000305,64608,133616
10000,reverse_sorted,7,0.000305,64608,133616
10000,reverse_sorted,8,0.000319,64608,133616
10000,reverse_sorted,9,0.000305,64608,133616
10000,reverse_sorted,10,0.000305,64608,133616
20000,random,1,0.001381,260900,287232
20000,random,2,0.001357,260900,287232
20000,random,3,0.001400,260900,287232
20000,random,4,0.001387,260900,287232
20000,random,5,0.001357,260900,287232
20000,random,6,0.001343,260900,287232
20000,random,7,0.001358,260900,287232
20000,random,8,0.001422,260900,287232
20000,random,9,0.001364,260900,287232
20000,random,10,0.001353,260900,287232
20000,sorted,1,0.000652,148016,287232
20000,sorted,2,0.000601,148016,287232
20000,sorted,3,0.000595,148016,287232
20000,sorted,4,0.000600,148016,287232
20000,sorted,5,0.000603,148016,287232
20000,sorted,6,0.000600,148016,287232
20000,sorted,7,0.000603,148016,287232
20000,sorted,8,0.000600,148016,287232
20000,sorted,9,0.000607,148016,287232
20000,sorted,10,0.000604,148016,287232
20000,reverse_sorted,1,0.000670,139216,287232
20000,reverse_sorted,2,0.000624,139216,287232
20000,reverse_sorted,3,0.000626,139216,287232
20000,reverse_sorted,4,0.000618,139216,287232
20000,reverse_sorted,5,0.000623,139216,287232
20000,reverse_sorted,6,0.000715,139216,287232
20000,reverse_sorted,7,0.000619,139216,287232
20000,reverse_sorted,8,0.000623,139216,287232
20000,reverse_sorted,9,0.000623,139216,287232
20000,reverse_sorted,10,0.000618,139216,287232
30000,random,1,0.002200,408643,447232
30000,random,2,0.002216,408643,447232
30000,random,3,0.002214,408643,447232
30000,random,4,0.002138,408643,447232
30000,random,5,0.002163,408643,447232
30000,random,6,0.002157,408643,447232
30000,random,7,0.002142,408643,447232
30000,random,8,0.002139,408643,447232
30000,random,9,0.002130,408643,447232
30000,random,10,0.002129,408643,447232
30000,sorted,1,0.000987,227728,447232
30000,sorted,2,0.000964,227728,447232
30000,sorted,3,0.000915,227728,447232
30000,sorted,4,0.000917,227728,447232
30000,sorted,5,0.000912,227728,447232
30000,sorted,6,0.000912,227728,447232
30000,sorted,7,0.000913,227728,447232
30000,sorted,8,0.000916,227728,447232
30000,sorted,9,0.000913,227728,447232
30000,sorted,10,0.000908,227728,447232
30000,reverse_sorted,1,0.001021,219504,447232
30000,reverse_sorted,2,0.000940,219504,447232
30000,reverse_sorted,3,0.000939,219504,447232
30000,reverse_sorted,4,0.000935,219504,447232
30000,reverse_sorted,5,0.000939,219504,447232
30000,reverse_sorted,6,0.000993,219504,447232
30000,reverse_sorted,7,0.000952,219504,447232
30000,reverse_sorted,8,0.000943,219504,447232
30000,reverse_sorted,9,0.000939,219504,447232
30000,reverse_sorted,10,0.000940,219504,447232
40000,random,1,0.002957,561646,614464
40000,random,2,0.003019,561646,614464
40000,random,3,0.002886,561646,614464
40000,random,4,0.002941,561646,614464
40000,random,5,0.002912,561646,614464
40000,random,6,0.002988,561646,614464
40000,random,7,0.002808,561646,614464
40000,random,8,0.003128,561646,614464
40000,random,9,0.002873,561646,614464
40000,random,10,0.002844,561646,614464
40000,sorted,1,0.001506,316032,614464
40000,sorted,2,0.001235,316032,614464
40000,sorted,3,0.001238,316032,614464
40000,sorted,4,0.001261,316032,614464
40000,sorted,5,0.001492,316032,614464
40000,sorted,6,0.001276,316032,614464
40000,sorted,7,0.001243,316032,614464
40000,sorted,8,0.001239,316032,614464
40000,sorted,9,0.001388,316032,614464
40000,sorted,10,0.001388,316032,614464
40000,reverse_sorted,1,0.001690,298432,614464
40000,reverse_sorted,2,0.001343,298432,614464
40000,reverse_sorted,3,0.001279,298432,614464
40000,reverse_sorted,4,0.001297,298432,614464
40000,reverse_sorted,5,0.001456,298432,614464
40000,reverse_sorted,6,0.001292,298432,614464
40000,reverse_sorted,7,0.001287,298432,614464
40000,reverse_sorted,8,0.001289,298432,614464
40000,reverse_sorted,9,0.001284,298432,614464
40000,reverse_sorted,10,0.001380,298432,614464
50000,random,1,0.003779,718131,784464
50000,random,2,0.003746,718131,784464
50000,random,3,0.003657,718131,784464
50000,random,4,0.003604,718131,784464
50000,random,5,0.003608,718131,784464
50000,random,6,0.003714,718131,784464
50000,random,7,0.003610,718131,784464
50000,random,8,0.003595,718131,784464
50000,random,9,0.003723,718131,784464
50000,random,10,0.003612,718131,784464
50000,sorted,1,0.001707,401952,784464
50000,sorted,2,0.001608,401952,784464
50000,sorted,3,0.001576,401952,784464
50000,sorted,4,0.001570,401952,784464
50000,sorted,5,0.001576,401952,784464
50000,sorted,6,0.001575,401952,784464
50000,sorted,7,0.001569,401952,784464
50000,sorted,8,0.001574,401952,784464
50000,sorted,9,0.001569,401952,784464
50000,sorted,10,0.001572,401952,784464
50000,reverse_sorted,1,0.001761,382512,784464
50000,reverse_sorted,2,0.001623,382512,784464
50000,reverse_sorted,3,0.001639,382512,784464
50000,reverse_sorted,4,0.001623,382512,784464
50000,reverse_sorted,5,0.001616,382512,784464
50000,reverse_sorted,6,0.001624,382512,784464
50000,reverse_sorted,7,0.001621,382512,784464
50000,reverse_sorted,8,0.001618,382512,784464
50000,reverse_sorted,9,0.001622,382512,784464
50000,reverse_sorted,10,0.001619,382512,784464
60000,random,1,0.004598,877256,954464
60000,random,2,0.004407,877256,954464
60000,random,3,0.004410,877256,954464
60000,random,4,0.004452,877256,954464
60000,random,5,0.004414,877256,954464
60000,random,6,0.004423,877256,954464
60000,random,7,0.004427,877256,954464
60000,random,8,0.004414,877256,954464
60000,random,9,0.004401,877256,954464
60000,random,10,0.004420,877256,954464
60000,sorted,1,0.002044,485456,954464
60000,sorted,2,0.001896,485456,954464
60000,sorted,3,0.001887,485456,954464
60000,sorted,4,0.001895,485456,954464
60000,sorted,5,0.001891,485456,954464
60000,sorted,6,0.001907,485456,954464
60000,sorted,7,0.001887,485456,954464
60000,sorted,8,0.001891,485456,954464
60000,sorted,9,0.001891,485456,954464
60000,sorted,10,0.001879,485456,954464
60000,reverse_sorted,1,0.002096,469008,954464
60000,reverse_sorted,2,0.001936,469008,954464
60000,reverse_sorted,3,0.001934,469008,954464
60000,reverse_sorted,4,0.001933,469008,954464
60000,reverse_sorted,5,0.001935,469008,954464
60000,reverse_sorted,6,0.001934,469008,954464
60000,reverse_sorted,7,0.001933,469008,954464
60000,reverse_sorted,8,0.001933,469008,954464
60000,reverse_sorted,9,0.001938,469008,954464
60000,reverse_sorted,10,0.001969,469008,954464
70000,random,1,0.005423,1038880,1128928
70000,random,2,0.005291,1038880,1128928
70000,random,3,0.005321,1038880,1128928
70000,random,4,0.005183,1038880,1128928
70000,random,5,0.005201,1038880,1128928
70000,random,6,0.005192,1038880,1128928
70000,random,7,0.005193,1038880,1128928
70000,random,8,0.005206,1038880,1128928
70000,random,9,0.005191,1038880,1128928
70000,random,10,0.005206,1038880,1128928
70000,sorted,1,0.002386,573728,1128928
70000,sorted,2,0.002296,573728,1128928
70000,sorted,3,0.002215,573728,1128928
70000,sorted,4,0.002208,573728,1128928
70000,sorted,5,0.002211,573728,1128928
70000,sorted,6,0.002221,573728,1128928
70000,sorted,7,0.002207,573728,1128928
70000,sorted,8,0.002213,573728,1128928
70000,sorted,9,0.002208,573728,1128928
70000,sorted,10,0.002207,573728,1128928
70000,reverse_sorted,1,0.002471,555200,1128928
70000,reverse_sorted,2,0.002273,555200,1128928
70000,reverse_sorted,3,0.002269,555200,1128928
70000,reverse_sorted,4,0.002269,555200,1128928
70000,reverse_sorted,5,0.002273,555200,1128928
70000,reverse_sorted,6,0.002269,555200,1128928
70000,reverse_sorted,7,0.002281,555200,1128928
70000,reverse_sorted,8,0.002270,555200,1128928
70000,reverse_sorted,9,0.002269,555200,1128928
70000,reverse_sorted,10,0.002275,555200,1128928
80000,random,1,0.006241,1203698,1308928
80000,random,2,0.006096,1203698,1308928
80000,random,3,0.005990,1203698,1308928
80000,random,4,0.006002,1203698,1308928
80000,random,5,0.005961,1203698,1308928
80000,random,6,0.006097,1203698,1308928
80000,random,7,0.005952,1203698,1308928
