Size,Data Type,Run,Execution Time (sec),Comparisons,Exchanges
0,random,1,0.000000,0,0
0,random,2,0.000000,0,0
0,random,3,0.000000,0,0
0,random,4,0.000000,0,0
0,random,5,0.000000,0,0
0,random,6,0.000000,0,0
0,random,7,0.000000,0,0
0,random,8,0.000000,0,0
0,random,9,0.000000,0,0
0,random,10,0.000000,0,0
0,sorted,1,0.000000,0,0
0,sorted,2,0.000000,0,0
0,sorted,3,0.000000,0,0
0,sorted,4,0.000000,0,0
0,sorted,5,0.000000,0,0
0,sorted,6,0.000000,0,0
0,sorted,7,0.000000,0,0
0,sorted,8,0.000000,0,0
0,sorted,9,0.000000,0,0
0,sorted,10,0.000000,0,0
0,reverse_sorted,1,0.000000,0,0
0,reverse_sorted,2,0.000000,0,0
0,reverse_sorted,3,0.000000,0,0
0,reverse_sorted,4,0.000000,0,0
0,reverse_sorted,5,0.000000,0,0
0,reverse_sorted,6,0.000000,0,0
0,reverse_sorted,7,0.000000,0,0
0,reverse_sorted,8,0.000000,0,0
0,reverse_sorted,9,0.000000,0,0
0,reverse_sorted,10,0.000000,0,0
10000,random,1,0.024830,49995000,9988
10000,random,2,0.024221,49995000,9988
10000,random,3,0.023328,49995000,9988
10000,random,4,0.023315,49995000,9988
10000,random,5,0.023350,49995000,9988
10000,random,6,0.023175,49995000,9988
10000,random,7,0.023189,49995000,9988
10000,random,8,0.023185,49995000,9988
10000,random,9,0.023177,49995000,9988
10000,random,10,0.023179,49995000,9988
10000,sorted,1,0.023365,49995000,0
10000,sorted,2,0.022729,49995000,0
10000,sorted,3,0.022719,49995000,0
10000,sorted,4,0.022728,49995000,0
10000,sorted,5,0.022732,49995000,0
10000,sorted,6,0.022754,49995000,0
10000,sorted,7,0.022864,49995000,0
10000,sorted,8,0.022782,49995000,0
10000,sorted,9,0.022730,49995000,0
10000,sorted,10,0.022762,49995000,0
10000,reverse_sorted,1,0.022756,49995000,5000
10000,reverse_sorted,2,0.017258,49995000,5000
10000,reverse_sorted,3,0.019932,49995000,5000
10000,reverse_sorted,4,0.017109,49995000,5000
10000,reverse_sorted,5,0.017122,49995000,5000
10000,reverse_sorted,6,0.019311,49995000,5000
10000,reverse_sorted,7,0.017112,49995000,5000
10000,reverse_sorted,8,0.018609,49995000,5000
10000,reverse_sorted,9,0.017107,49995000,5000
10000,reverse_sorted,10,0.017113,49995000,5000
20000,random,1,0.092001,199990000,19990
20000,random,2,0.091848,199990000,19990
20000,random,3,0.091832,199990000,19990
20000,random,4,0.091878,199990000,19990
20000,random,5,0.092221,199990000,19990
20000,random,6,0.093404,199990000,19990
20000,random,7,0.092437,199990000,19990
20000,random,8,0.092628,199990000,19990
20000,random,9,0.093608,199990000,19990
20000,random,10,0.092680,199990000,19990
20000,sorted,1,0.091213,199990000,0
20000,sorted,2,0.091143,199990000,0
20000,sorted,3,0.091281,199990000,0
20000,sorted,4,0.092277,199990000,0
20000,sorted,5,0.091757,199990000,0
20000,sorted,6,0.091874,199990000,0
20000,sorted,7,0.091695,199990000,0
20000,sorted,8,0.092263,199990000,0
20000,sorted,9,0.092334,199990000,0
20000,sorted,10,0.092039,199990000,0
20000,reverse_sorted,1,0.083941,199990000,10000
20000,reverse_sorted,2,0.080464,199990000,10000
20000,reverse_sorted,3,0.070572,199990000,10000
20000,reverse_sorted,4,0.076934,199990000,10000
20000,reverse_sorted,5,0.079410,199990000,10000
20000,reverse_sorted,6,0.074753,199990000,10000
20000,reverse_sorted,7,0.069702,199990000,10000
20000,reverse_sorted,8,0.071146,199990000,10000
20000,reverse_sorted,9,0.072204,199990000,10000
20000,reverse_sorted,10,0.076150,199990000,10000
30000,random,1,0.209904,449985000,29986
30000,random,2,0.209804,449985000,29986
30000,random,3,0.207706,449985000,29986
30000,random,4,0.210019,449985000,29986
30000,random,5,0.208308,449985000,29986
30000,random,6,0.206532,449985000,29986
30000,random,7,0.206618,449985000,29986
30000,random,8,0.206004,449985000,29986
30000,random,9,0.205976,449985000,29986
30000,random,10,0.207927,449985000,29986
30000,sorted,1,0.205740,449985000,0
30000,sorted,2,0.205058,449985000,0
30000,sorted,3,0.206627,449985000,0
30000,sorted,4,0.205658,449985000,0
30000,sorted,5,0.205355,449985000,0
30000,sorted,6,0.204872,449985000,0
30000,sorted,7,0.205421,449985000,0
30000,sorted,8,0.204382,449985000,0
30000,sorted,9,0.204422,449985000,0
30000,sorted,10,0.204397,449985000,0
30000,reverse_sorted,1,0.165915,449985000,15000
30000,reverse_sorted,2,0.164528,449985000,15000
30000,reverse_sorted,3,0.154684,449985000,15000
30000,reverse_sorted,4,0.194560,449985000,15000
30000,reverse_sorted,5,0.171540,449985000,15000
30000,reverse_sorted,6,0.181393,449985000,15000
30000,reverse_sorted,7,0.172531,449985000,15000
30000,reverse_sorted,8,0.165839,449985000,15000
30000,reverse_sorted,9,0.174199,449985000,15000
30000,reverse_sorted,10,0.160460,449985000,15000
40000,random,1,0.366689,799980000,39987
40000,random,2,0.366453,799980000,39987
40000,random,3,0.372315,799980000,39987
40000,random,4,0.372097,799980000,39987
40000,random,5,0.369340,799980000,39987
40000,random,6,0.369484,799980000,39987
40000,random,7,0.369294,799980000,39987
40000,random,8,0.368790,799980000,39987
40000,random,9,0.368035,799980000,39987
40000,random,10,0.366921,799980000,39987
40000,sorted,1,0.363390,799980000,0
40000,sorted,2,0.369746,799980000,0
40000,sorted,3,0.364397,799980000,0
40000,sorted,4,0.371366,799980000,0
40000,sorted,5,0.363806,799980000,0
40000,sorted,6,0.366711,799980000,0
40000,sorted,7,0.363311,799980000,0
40000,sorted,8,0.370665,799980000,0
40000,sorted,9,0.366055,799980000,0
40000,sorted,10,0.365050,799980000,0
40000,reverse_sorted,1,0.294708,799980000,20000
40000,reverse_sorted,2,0.305950,799980000,20000
40000,reverse_sorted,3,0.293261,799980000,20000
40000,reverse_sorted,4,0.303029,799980000,20000
40000,reverse_sorted,5,0.307563,799980000,20000
40000,reverse_sorted,6,0.291487,799980000,20000
40000,reverse_sorted,7,0.297039,799980000,20000
40000,reverse_sorted,8,0.307205,799980000,20000
40000,reverse_sorted,9,0.307245,799980000,20000
40000,reverse_sorted,10,0.302616,799980000,20000
50000,random,1,0.573509,1249975000,49997
50000,random,2,0.571709,1249975000,49997
50000,random,3,0.571556,1249975000,49997
50000,random,4,0.572269,1249975000,49997
50000,random,5,0.573966,1249975000,49997
50000,random,6,0.574454,1249975000,49997
50000,random,7,0.575407,1249975000,49997
50000,random,8,0.570604,1249975000,49997
50000,random,9,0.572651,1249975000,49997
50000,random,10,0.571393,1249975000,49997
50000,sorted,1,0.567824,1249975000,0
50000,sorted,2,0.567968,1249975000,0
50000,sorted,3,0.569587,1249975000,0
50000,sorted,4,0.567712,1249975000,0
50000,sorted,5,0.567897,1249975000,0
50000,sorted,6,0.575013,1249975000,0
50000,sorted,7,0.569589,1249975000,0
50000,sorted,8,0.571248,1249975000,0
50000,sorted,9,0.567896,1249975000,0
50000,sorted,10,0.567928,1249975000,0
50000,reverse_sorted,1,0.463354,1249975000,25000
50000,reverse_sorted,2,0.443530,1249975000,25000
50000,reverse_sorted,3,0.464936,1249975000,25000
50000,reverse_sorted,4,0.440558,1249975000,25000
50000,reverse_sorted,5,0.503660,1249975000,25000
50000,reverse_sorted,6,0.490144,1249975000,25000
50000,reverse_sorted,7,0.446518,1249975000,25000
50000,reverse_sorted,8,0.457251,1249975000,25000
50000,reverse_sorted,9,0.464163,1249975000,25000
50000,reverse_sorted,10,0.477749,1249975000,25000
60000,random,1,0.822256,1799970000,59985
60000,random,2,0.823126,1799970000,59985
60000,random,3,0.821708,1799970000,59985
60000,random,4,0.822896,1799970000,59985
60000,random,5,0.825523,1799970000,59985
60000,random,6,0.826045,1799970000,59985
60000,random,7,0.822193,1799970000,59985
60000,random,8,0.822857,1799970000,59985
60000,random,9,0.828318,1799970000,59985
60000,random,10,0.839564,1799970000,59985
60000,sorted,1,0.828493,1799970000,0
60000,sorted,2,0.825492,1799970000,0
60000,sorted,3,0.829884,1799970000,0
60000,sorted,4,0.819043,1799970000,0
60000,sorted,5,0.822644,1799970000,0
60000,sorted,6,0.823468,1799970000,0
60000,sorted,7,0.845727,1799970000,0
60000,sorted,8,0.834776,1799970000,0
60000,sorted,9,0.824126,1799970000,0
60000,sorted,10,0.836948,1799970000,0
60000,reverse_sorted,1,0.706516,1799970000,30000
60000,reverse_sorted,2,0.674771,1799970000,30000
60000,reverse_sorted,3,0.724323,1799970000,30000
60000,reverse_sorted,4,0.654297,1799970000,30000
60000,reverse_sorted,5,0.672841,1799970000,30000
60000,reverse_sorted,6,0.672408,1799970000,30000
60000,reverse_sorted,7,0.705595,1799970000,30000
60000,reverse_sorted,8,0.691034,1799970000,30000
60000,reverse_sorted,9,0.688994,1799970000,30000
60000,reverse_sorted,10,0.664030,1799970000,30000
70000,random,1,1.127734,2449965000,69992
70000,random,2,1.122123,2449965000,69992
70000,random,3,1.122630,2449965000,69992
70000,random,4,1.138709,2449965000,69992
70000,random,5,1.128089,2449965000,69992
70000,random,6,1.121393,2449965000,69992
70000,random,7,1.122455,2449965000,69992
70000,random,8,1.120228,2449965000,69992
70000,random,9,1.118000,2449965000,69992
70000,random,10,1.129533,2449965000,69992
70000,sorted,1,1.160173,2449965000,0
70000,sorted,2,1.118010,2449965000,0
70000,sorted,3,1.119880,2449965000,0
70000,sorted,4,1.126648,2449965000,0
70000,sorted,5,1.124664,2449965000,0
70000,sorted,6,1.121692,2449965000,0
70000,sorted,7,1.158329,2449965000,0
70000,sorted,8,1.118297,2449965000,0
70000,sorted,9,1.122456,2449965000,0
70000,sorted,10,1.119067,2449965000,0
70000,reverse_sorted,1,0.897683,2449965000,35000
70000,reverse_sorted,2,0.897367,2449965000,35000
70000,reverse_sorted,3,0.864817,2449965000,35000
70000,reverse_sorted,4,0.967125,2449965000,35000
70000,reverse_sorted,5,0.920883,2449965000,35000
70000,reverse_sorted,6,0.881728,2449965000,35000
70000,reverse_sorted,7,0.911847,2449965000,35000
70000,reverse_sorted,8,0.923734,2449965000,35000
